cat,value,label,drainage_area_sqkm,slope_number,slope_minimum,slope_maximum,slope_range,slope_average,slope_stddev,slope_variance,slope_coeff_var,slope_sum,slope_first_quartile,slope_median,slope_third_quartile,relief_100m_number,relief_100m_minimum,relief_100m_maximum,relief_100m_range,relief_100m_average,relief_100m_stddev,relief_100m_variance,relief_100m_coeff_var,relief_100m_sum,relief_100m_first_quartile,relief_100m_median,relief_100m_third_quartile,relief_1km_number,relief_1km_minimum,relief_1km_maximum,relief_1km_range,relief_1km_average,relief_1km_stddev,relief_1km_variance,relief_1km_coeff_var,relief_1km_sum,relief_1km_first_quartile,relief_1km_median,relief_1km_third_quartile,relief_2point5km_number,relief_2point5km_minimum,relief_2point5km_maximum,relief_2point5km_range,relief_2point5km_average,relief_2point5km_stddev,relief_2point5km_variance,relief_2point5km_coeff_var,relief_2point5km_sum,relief_2point5km_first_quartile,relief_2point5km_median,relief_2point5km_third_quartile,relief_5km_number,relief_5km_minimum,relief_5km_maximum,relief_5km_range,relief_5km_average,relief_5km_stddev,relief_5km_variance,relief_5km_coeff_var,relief_5km_sum,relief_5km_first_quartile,relief_5km_median,relief_5km_third_quartile,ksn_points_count,ksn_min,ksn_max,ksn_range,ksn_mean,ksn_stddev,ksn_variance,ksn_median,prop_kjf_average,_number,elev_number,elev_minimum,elev_maximum,elev_range,elev_average,elev_stddev,elev_variance,elev_coeff_var,elev_sum,elev_first_quartile,elev_median,elev_third_quartile,intra_100m_relief_number,intra_100m_relief_minimum,intra_100m_relief_maximum,intra_100m_relief_range,intra_100m_relief_average,intra_100m_relief_stddev,intra_100m_relief_variance,intra_100m_relief_coeff_var,intra_100m_relief_sum,intra_100m_relief_first_quartile,intra_100m_relief_median,intra_100m_relief_third_quartile,intra_1km_relief_number,intra_1km_relief_minimum,intra_1km_relief_maximum,intra_1km_relief_range,intra_1km_relief_average,intra_1km_relief_stddev,intra_1km_relief_variance,intra_1km_relief_coeff_var,intra_1km_relief_sum,intra_1km_relief_first_quartile,intra_1km_relief_median,intra_1km_relief_third_quartile,intra_2point5km_relief_number,intra_2point5km_relief_minimum,intra_2point5km_relief_maximum,intra_2point5km_relief_range,intra_2point5km_relief_average,intra_2point5km_relief_stddev,intra_2point5km_relief_variance,intra_2point5km_relief_coeff_var,intra_2point5km_relief_sum,intra_2point5km_relief_first_quartile,intra_2point5km_relief_median,intra_2point5km_relief_third_quartile,intra_5km_relief_number,intra_5km_relief_minimum,intra_5km_relief_maximum,intra_5km_relief_range,intra_5km_relief_average,intra_5km_relief_stddev,intra_5km_relief_variance,intra_5km_relief_coeff_var,intra_5km_relief_sum,intra_5km_relief_first_quartile,intra_5km_relief_median,intra_5km_relief_third_quartile
349,132,,13.2953,132953,0.172480210661888,177.468154907227,177.295674696565,38.6334853796135,16.6922058575225,278.629736389909,43.206575056598,5136437.78167576,27.3876,36.1098,46.7796,132953,3.350830078125,188.123657226562,184.772827148438,74.5472374795907,23.6332686201717,558.531385673193,31.7024069827429,9911278.86462402,59.4762,72.7488,86.5305,132953,254.80419921875,800.922973632812,546.118774414062,607.538970172121,107.237844140696,11499.9552159443,17.6511877271535,80774128.7012939,556.928,624.854,679.101,132953,748.162475585938,1535.65356445312,787.491088867188,1199.96214899779,186.870379183275,34920.5386161011,15.573022810707,159538567.595703,1051.84,1228.66,1350,132953,1371.44897460938,1658.41735839844,286.968383789062,1594.73939429312,55.4110332961301,3070.38261094484,3.47461368888372,212025386.689453,1578.96,1606.62,1634.99,76,249.542949,1283.791679,1034.24873,889.03261175,248.257842401908,61631.9563140507,876.2198545,0.0472873872721939,,132953,707.164794921875,2267.5419921875,1560.37719726562,1548.23704571514,378.656477026739,143380.727594301,24.4572675789343,205842759.938965,1238.88,1566.72,1886.03,132953,3.312255859375,188.123657226562,184.811401367188,74.4791629154267,23.6962972802287,561.514504792975,31.8160091395449,9902228.14709473,59.3979,72.7305,86.4874,132953,254.505859375,800.922973632812,546.417114257812,604.048975277235,109.298327859705,11946.1244729275,18.0942824726324,80310123.4100342,548.223,623.514,677.912,132953,673.181762695312,1492.57397460938,819.392211914062,1185.22783163994,193.774805727206,37548.6753346166,16.3491609422545,157579595.900024,1028.53,1216.82,1344.32,132953,1366.01000976562,1560.37719726562,194.3671875,1547.34819753033,34.3493558756968,1179.87824907527,2.21988534516799,205724584.90625,1560.38,1560.38,1560.38
350,133,,49.5659,495659,0.00320797669701278,178.135803222656,178.132595245959,37.262801453561,20.0398205587,401.594408024896,53.7796938957334,18469642.9056706,23.2185,33.7739,47.9037,495659,4.7626953125,185.41943359375,180.65673828125,69.3859196095925,30.3131132762798,918.884836500571,43.6877012610626,34391755.527771,48.736,63.7509,85.063,495659,174.510498046875,908.209594726562,733.699096679688,435.117854403459,169.600610240851,28764.3669940689,38.9780857127481,215670080.595764,305.825,374.066,566.438,495659,431.48291015625,1453.78759765625,1022.3046875,866.086996310759,228.594898453056,52255.6275987629,26.3939880666485,429283814.504395,691.363,866.006,1016.78,495659,1013.46081542969,1696.12731933594,682.66650390625,1389.09787598538,158.171068195207,25018.086814013,11.3866035597388,688518864.113037,1265.19,1428.19,1522.96,286,63.998361,1881.333555,1817.335194,532.349892342657,471.106066678792,221940.926061563,302.3392145,0,,495659,986.457397460938,2268.83129882812,1282.37390136719,1729.64055621913,178.939924973845,32019.4967496452,10.3454977585051,857311908.455017,1642.58,1745.9,1848.78,495659,0,185.41943359375,185.41943359375,69.1117132671439,30.5143942365475,931.128255623445,44.1522757779096,34255842.6862793,48.3978,63.6208,84.9626,495659,92.701904296875,906.845336914062,814.143432617188,413.178274014496,177.707299358864,31579.8842454209,43.0098363188935,204795530.119751,282.61,346.662,556.099,495659,245.21630859375,1282.37390136719,1037.15759277344,729.389217727987,280.980677476795,78950.1411153188,38.5227352759665,361528330.269836,460.277,695.172,982.727,495659,473.381713867188,1560.37719726562,1086.99548339844,1091.52363560274,246.772267407447,60896.5519614124,22.6080553236192,541023513.699219,960.245,1204.54,1282.37
351,208,,16.8749,168749,0.00519695645198226,187.14875793457,187.143560978118,48.9974071904482,20.0730742111768,402.928308287413,40.9676253544494,8268263.46598094,35.1093,48.1594,61.7639,168749,5.16845703125,167.771789550781,162.603332519531,89.1830635450351,24.8977170236663,619.896312990565,27.9175395349518,15049552.7901611,71.8365,89.6435,106.965,168749,247.468902587891,705.967529296875,458.498626708984,471.272400336012,77.3284819201639,5979.69411607712,16.4084469756832,79526746.2843018,411.826,466.094,528.314,168749,466.698577880859,811.647705078125,344.949127197266,730.573011212462,45.7269309365488,2090.95221287591,6.25905012021457,123283465.069092,717.208,742.704,760.65,168749,797.776123046875,948.73583984375,150.959716796875,895.56177305378,39.1614612976173,1533.62005096478,4.37283752789944,151125153.641052,890.323,907.352,925.088,101,159.258666,866.626998,707.368332,365.967291128713,132.502587089549,17556.9355854236,313.832576,0,,168749,409.098876953125,1285.14440917969,876.045532226562,849.605956238421,196.37626814601,38563.6386909535,23.1138054887767,143370155.509277,697.632,855.564,1001.22,168749,0,167.771789550781,167.771789550781,88.5803587838536,25.8127114598384,666.296072908872,29.1404458214314,14947846.9644165,71.2424,89.5144,106.926,168749,22.2803955078125,642.980895996094,620.700500488281,455.263870752047,88.5504707369637,7841.18586773786,19.4503619605676,76825322.9255371,395.279,446.883,524.413,168749,436.002319335938,791.86767578125,355.865356445312,704.863925501503,57.6661983552942,3325.39043275213,8.18118168187786,118945082.564453,682.685,710.423,752.84,168749,716.57958984375,876.045532226562,159.465942382812,846.035391239818,40.3245805368357,1626.07179547175,4.76629948987622,142767626.236328,828.758,868.623,876.046
347,207,,12.5777,125777,0.0176760088652372,163.833389282227,163.815713273361,38.9132343542257,19.8153898983302,392.649676822846,50.9219812415268,4894389.87737145,25.3513,37.6379,51.5045,125777,1.64425659179688,154.737121582031,153.092864990234,68.8300092227301,24.8045621395058,615.266302932606,36.0374238208216,8657232.07000732,54.3541,68.6349,84.2025,125777,80.8980712890625,642.707336425781,561.809265136719,364.514311402141,123.561588148137,15267.4660656899,33.8975958647125,45847516.5452271,279.087,325.258,471.252,125777,309.452270507812,792.380493164062,482.92822265625,639.911039803486,162.922980664977,26543.8976287606,25.4602547121254,80486090.853363,471.655,742.245,760.855,125777,660.23974609375,925.140380859375,264.900634765625,860.527647276851,36.5021162464367,1332.40449046838,4.24182957537134,108234585.891541,842.309,865.906,878.972,102,26.857537,351.373604,324.516067,165.817253813725,85.2504388116103,7267.63731757211,149.0917365,0.767660224047322,,125777,445.433929443359,1212.29309082031,766.859161376953,688.566761914677,153.441509529374,23544.296846653,22.2841876803208,86605861.6133423,581.543,665.423,756.72,125777,1.03921508789062,154.737121582031,153.697906494141,68.74537428688,24.8286826439998,616.463481836458,36.116877537662,8646586.94168091,54.2646,68.5612,84.1337,125777,74.4208068847656,610.524597167969,536.103790283203,354.502878687621,123.647761366821,15288.7688910262,34.8791981110472,44588308.5726929,272.518,301.839,463.569,125777,303.454986572266,762.5947265625,459.139739990234,612.699106578605,152.327997179097,23203.818724595,24.8617952178382,77063455.5281372,454.211,694.76,728.557,125777,635.064086914062,766.859130859375,131.795043945312,765.949409281962,7.2285438101866,52.251845615787,0.943736456036044,96338818.8512573,766.859,766.859,766.859
352,148,,48.0003,480003,0.0011264665517956,225.439651489258,225.438525022706,41.853454200062,19.9068531476577,396.282802242408,47.563226328947,20089783.5763924,27.603,39.4999,53.4834,480003,12.3041381835938,165.791137695312,153.486999511719,73.5647696672365,22.3123990371145,497.843150791427,30.3302778463694,35311310.1345825,57.353,71.398,87.564,480003,191.970336914062,694.943115234375,502.972778320312,414.465405723556,100.852378253556,10171.2021993983,24.3331233103742,198944638.143524,338.256,401.351,491.176,480003,455.670654296875,970.900024414062,515.229370117188,668.495732645448,133.871399618846,17921.5516359089,20.0257672684125,320879957.157013,543.686,653.171,766.912,480003,594.572021484375,981.186889648438,386.614868164062,879.418275146604,96.0819683814754,9231.74464805884,10.9256278948101,422123410.325195,805.947,895.936,970.9,274,40.618071,940.021739,899.403668,360.170964394161,217.113905783208,47138.4480844398,324.068618,0.709935146238669,,480003,257.005615234375,1223.10205078125,966.096435546875,773.223773804419,159.465804294278,25429.3427392209,20.6234999099515,371149731.097443,683.496,790.484,881.503,480003,0,165.791137695312,165.791137695312,73.0175160380111,22.9415109335704,526.312923915131,31.4191884062827,35048626.7507935,56.9075,71.1334,87.3462,480003,0,694.943115234375,694.943115234375,396.503394794736,118.53625948584,14050.8448128943,29.8953958634337,190322819.011658,320.094,392.917,483.917,480003,250.232055664062,958.566650390625,708.334594726562,630.194843063745,155.528446729778,24189.0977421775,24.6794223154324,302495415.255127,495.123,612.211,756.566,480003,429.738708496094,966.096435546875,536.357727050781,841.619738610726,125.158714915636,15664.7039193334,14.871171524831,403979999.392365,752.2,869.875,966.096
348,209,,10.1731,101731,0.147420153021812,138.809387207031,138.661967054009,38.9708627537717,19.8572241588735,394.30935129575,50.95402758809,3964544.83880395,24.1903,36.3435,51.4874,101731,8.50146484375,167.446655273438,158.945190429688,69.9780932770299,25.7663874943936,663.906724511241,36.8206481311078,7118941.40716553,50.8225,66.028,88.8328,101731,177.940948486328,388.305389404297,210.364440917969,284.152592434469,46.17433306655,2132.06903414069,16.2498369875681,28907127.3809509,255.236,277.781,318.832,101731,326.896759033203,534.063903808594,207.167144775391,413.471855073804,52.3772405404334,2743.37532663042,12.6676676774249,42062905.2885132,356.393,416.718,457.284,101731,539.788208007812,816.224365234375,276.436157226562,725.613523252946,56.3398635338779,3174.18022301599,7.76444508383812,73817389.3340454,698.537,725.401,769.665,58,55.370731,143.306322,87.935591,90.7168683965517,23.3681024758926,546.068213323817,88.15906,0,,101731,416.449310302734,818.302917480469,401.853607177734,581.179528115993,77.2665814340802,5970.12460650935,13.2947871864233,59123974.5747681,520.356,574.526,638.448,101731,0,167.446655273438,167.446655273438,67.6339960301224,27.3375627822804,747.342338875125,40.4198544916746,6880474.05014038,48.1389,64.4717,87.4678,101731,0,371.379150390625,371.379150390625,245.704724638145,75.9347529438858,5766.08670464897,30.9048810745161,24995787.3421631,203.885,267.59,295.259,101731,170.266754150391,431.234252929688,260.967498779297,352.471131603424,49.0065329402191,2401.64027082078,13.9037011959771,35857240.6891479,313.876,356.397,401.854,101731,377.723541259766,534.908325195312,157.184783935547,444.579697641768,34.4616517243128,1187.60543956783,7.75151269999766,45227537.2207947,409.818,449.671,461.51
354,211,,11.3068,113068,0.0249354019761086,122.187683105469,122.162747703493,36.2639449320413,16.4286813236671,269.901570034607,45.3030726647485,4100291.72557605,24.9199,35.316,46.5068,113068,5.1612548828125,133.779052734375,128.617797851562,65.0014267132415,18.6043049100635,346.120161186614,28.6213793308534,7349581.31561279,52.6672,64.9707,77.2358,113068,196.284271240234,490.2705078125,293.986236572266,313.644874625385,56.8694267292122,3234.13169650923,18.1317889530752,35463198.6841431,275.094,295.404,347.212,113068,312.805114746094,696.696044921875,383.890930175781,518.600953536827,113.844770505566,12960.631771465,21.9522871543432,58637172.614502,415.655,548.368,615.239,113068,676.59228515625,906.615417480469,230.023132324219,768.421698269679,55.2160805975496,3048.8155565551,7.18564828685661,86883904.5799561,731.822,755.599,794.77,78,35.746748,231.174893,195.428145,84.6296270641026,37.483724016456,1405.02956614184,77.7291035,0,,113068,440.243591308594,772.557373046875,332.313781738281,597.510251185071,72.2146727821362,5214.958965031,12.0859303482927,67559289.0809937,541.768,596.887,652.522,113068,0,133.779052734375,133.779052734375,64.3127794803195,19.6732894796633,387.038318950631,30.590015916951,7271717.35028076,52.1491,64.8409,77.1956,113068,128.786376953125,308.996643066406,180.210266113281,259.906813104485,36.3240298080302,1319.43514149467,13.975789774094,29387143.5440979,237.291,271.097,288.904,113068,269.156036376953,332.313781738281,63.1577453613281,313.096609842116,16.2717449492981,264.76968369501,5.19703645386113,35401207.4816284,305.31,313.82,327.995,113068,317.537414550781,407.662536621094,90.1251220703125,334.884709339896,12.8223189636121,164.411863604606,3.82887561181479,37864744.3156433,332.314,332.314,332.314
357,210,,12.4456,124456,0.000290518684778363,118.879447937012,118.879157418327,32.2616599567481,21.6914939415961,470.520909418301,67.2361371692498,4015157.15157705,13.8041,30.5833,47.538,124456,1.04571533203125,151.028686523438,149.982971191406,57.3321928529543,32.1537648866989,1033.86459638911,56.0832636720647,7135335.39370728,31.0583,57.2274,81.769,124456,65.3294067382812,577.139953613281,511.810546875,315.092716869539,148.762524250782,22130.2886214645,47.2123017404987,39215179.1707153,155.928,360.961,424.067,124456,174.528228759766,774.299743652344,599.771514892578,572.49828576916,165.830732107623,27499.8317113503,28.966153476744,71250846.6536865,496.68,616.269,705.335,124456,536.042846679688,836.102172851562,300.059326171875,797.262058505962,56.9164389549065,3239.4810233076,7.13898753210026,99224046.753418,800.026,822.395,825.942,99,29.562151,365.771571,336.20942,169.385886494949,99.0657996086684,9814.03265210484,137.097721,0.307771421225172,,124456,481.328887939453,1285.29821777344,803.969329833984,726.270943379474,207.514966802883,43062.4614472018,28.572665434924,90388776.5292358,543.631,651.648,868.845,124456,0,151.028686523438,151.028686523438,56.8324087520196,32.3691138000485,1047.75952820049,56.9553790008914,7073134.26364136,30.1389,56.4497,81.6421,124456,46.5901794433594,577.139953613281,530.549774169922,305.705523675609,148.945238623324,22184.6841085588,48.7218015665863,38046886.6545715,155.567,343.178,416.25,124456,128.928497314453,773.917602539062,644.989105224609,554.526587762187,172.089097134855,29614.6573526896,31.0335159634684,69014161.0065308,479.271,579.213,690.606,124456,499.933380126953,803.969360351562,304.035980224609,775.20621828522,61.4682520240046,3778.34600688655,7.92927747148034,96479065.1029053,785.256,803.969,803.969
360,213,,13.2238,132238,0.142198532819748,131.380279541016,131.238081008196,41.9522744027683,18.759572140855,351.921546907943,44.7164603300199,5547684.86247328,28.7875,41.4557,54.3696,132238,4.73876953125,144.691040039062,139.952270507812,75.0325563375659,23.5838720419475,556.199020490952,31.4315187874519,9922155.18496704,57.8958,75.8345,92.5947,132238,170.305816650391,589.528686523438,419.222869873047,393.198785014438,104.957737696229,11016.1267023104,26.693301631737,51995820.9327393,303.55,414.491,476.983,132238,372.520721435547,799.66650390625,427.145782470703,654.683561350892,109.846694722508,12066.2963414598,16.7785936912556,86574044.7859192,583.533,679.919,740.494,132238,798.883178710938,1201.70275878906,402.819580078125,948.264134364537,147.281179312565,21691.7457797,15.531661904651,125396552.600098,816.846,855.356,1105.67,80,92.717828,552.676944,459.959116,193.0115783875,83.6903307821218,7004.07146642096,166.3842255,0.000514224353060391,,132238,477.888427734375,1285.73999023438,807.8515625,752.123684630257,167.583561274745,28084.2500095263,22.2813833282127,99459331.808136,614.184,723.896,878.437,132238,0,144.691040039062,144.691040039062,73.3091949154572,25.2190156247408,635.998749080919,34.4008901664031,9694261.31723022,55.9727,74.7062,92.0353,132238,0,572.939208984375,572.939208984375,361.986071205061,105.297682002216,11087.6018350399,29.0888767216036,47868314.0840149,276.448,367.228,443.151,132238,317.330017089844,799.66650390625,482.336486816406,622.156187591255,126.433984567506,15985.5524536162,20.3219042242445,82272689.9346924,544.34,645.766,724.945,132238,522.089294433594,807.8515625,285.762268066406,786.285261855249,66.1125220042723,4370.86556576539,8.40821076161076,103976790.457214,807.852,807.852,807.852
358,212,,46.0423,460423,0,189.378662109375,189.378662109375,23.2617977805268,19.7829268295527,391.364193943435,85.044702976971,10710266.7195035,4.6848,19.983,36.4335,460423,0.0003662109375,146.907836914062,146.907470703125,40.8739933498244,28.608341218671,818.437187283908,69.9915493302146,18819326.6401062,13.6935,40.2905,61.2324,460423,26.0262145996094,468.467102050781,442.440887451172,227.569934103851,106.95784166278,11439.9798931604,46.9999879746725,104778431.769897,141.668,211.167,320.453,460423,186.965270996094,685.419616699219,498.454345703125,402.157776941202,108.454683503209,11762.4183737812,26.9681925159104,185162690.132599,314.351,402.744,504.375,460423,443.858551025391,825.070983886719,381.212432861328,629.739485543455,90.3326092482983,8159.98029360575,14.34444104618,289946543.152374,562.58,610.616,657.587,312,0.937696,371.311592,370.373896,94.3767634679488,78.8158338839595,6211.9356708239,61.0654915,0.675739483040595,,460423,485.7158203125,1039.01354980469,553.297729492188,624.285356697853,117.793631847978,13875.339703937,18.8685559550917,287435336.786896,526.159,590.189,691.997,460423,0,146.907836914062,146.907836914062,39.6703468890605,28.6835664990083,822.746987103031,72.304803835527,18265140.1257019,12.1814,38.3301,60.1105,460423,0,468.467102050781,468.467102050781,196.286328239124,101.225593607626,10246.6208012162,51.5703740121465,90374740.106842,118.605,182.667,277.365,460423,0,684.887512207031,684.887512207031,346.454610315024,102.850229680994,10578.1697454332,29.6864947438495,159515671.045074,259.969,327.605,421.332,460423,335.410705566406,803.969360351562,468.558654785156,538.990450106399,61.2932637299027,3756.86417866341,11.371864514075,248163600.009338,518.805,538.649,553.298
